time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.069088,0.07126500000000001,0.07015615,0.0700955,0.0005746800218382417,0.06889599999999999,0.071326,0.07014794999999999,0.0701115,0.0006679129041274769,0.0057599999999999995,0.005984,0.005863999999999999,0.005856,6.30935812900171e-05,0.012735,0.01328,0.01304305,0.013023,0.00015102498965403012,32,8,4096,14336,128256,True,160,8
0.063455,0.06518399999999999,0.06446345,0.06465599999999999,0.0005924940062987987,0.063296,0.065089,0.06409555000000002,0.0641265,0.00047131279157264255,0.005664,0.005984,0.005811149999999999,0.005824,7.936578292942123e-05,0.011231999999999999,0.011808,0.011548800000000001,0.011552,0.00013228854825720953,32,8,4096,14336,128256,True,152,8
0.06070200000000001,0.062431,0.06167925,0.06174249999999999,0.00045185505142689115,0.05747200000000001,0.059614999999999994,0.0586269,0.058576500000000004,0.000626351171468528,0.005568,0.005888,0.00575845,0.005775499999999999,8.557188498566576e-05,0.01056,0.011167,0.010794999999999999,0.0108155,0.00017399080435471264,32,8,4096,14336,128256,True,144,8
0.053089000000000004,0.05494400000000001,0.053791750000000006,0.05375900000000001,0.00045647057681738986,0.052736000000000005,0.055264000000000015,0.05402355000000001,0.0541595,0.0005997002146906425,0.005632,0.00592,0.0057677499999999994,0.0057599999999999995,7.758986725082101e-05,0.009472,0.009953,0.00969125,0.009632499999999999,0.00013820559865649465,32,8,4096,14336,128256,True,136,8
0.04953500000000001,0.052705,0.05042490000000001,0.05025600000000001,0.0008099302377365578,0.048672000000000014,0.04972700000000001,0.049166100000000004,0.04911950000000001,0.00029655706027677004,0.005568,0.005792,0.00567515,0.005664,4.876707393313645e-05,0.00944,0.010112,0.00966705,0.009631500000000001,0.00017902080186391753,32,8,4096,14336,128256,True,128,8
0.044030999999999994,0.04537600000000001,0.0446316,0.0446555,0.0004150386006144481,0.043807000000000006,0.04470300000000001,0.044148349999999996,0.044111000000000004,0.0002353476736660042,0.005632,0.005888,0.005731150000000001,0.005712,6.712248133077336e-05,0.008672000000000001,0.009536,0.00908485,0.009056,0.00020140265018117265,32,8,4096,14336,128256,True,120,8
0.042208,0.043456,0.04270315000000001,0.042688000000000004,0.00029332716802233044,0.042111,0.043295,0.042780200000000004,0.042751000000000004,0.00030684859458697175,0.005536,0.0057599999999999995,0.0056479,0.005632,5.676697983863493e-05,0.008095000000000001,0.008799,0.0083599,0.008320000000000001,0.00018267837857830892,32,8,4096,14336,128256,True,112,8
0.04000000000000001,0.04147200000000001,0.040492450000000006,0.040512000000000006,0.0003699731713246265,0.040094000000000005,0.041280000000000004,0.040596150000000004,0.040560000000000006,0.00033025040121096027,0.005632,0.005824,0.0056959,0.0056795000000000005,5.637100318426139e-05,0.007328,0.00816,0.007774350000000001,0.007792,0.0001965154637681219,32,8,4096,14336,128256,True,104,8
0.038528,0.04057700000000001,0.03929575000000001,0.03916650000000001,0.0005413442412181014,0.038753,0.039710999999999996,0.0391644,0.03912,0.0002785005206458323,0.0056,0.005729000000000001,0.005651249999999999,0.005632,3.980813359101377e-05,0.006816,0.00736,0.007123199999999999,0.00712,0.00013248154588470058,32,8,4096,14336,128256,True,96,8
0.03696,0.038113,0.037534000000000005,0.0374715,0.00037037994006155323,0.037277000000000005,0.038593,0.03777190000000001,0.0376165,0.0003316891466418519,0.0056,0.0057599999999999995,0.005646399999999999,0.005632,4.23017730124872e-05,0.006656,0.007200000000000001,0.0069008,0.006848,0.00016704328780289268,32,8,4096,14336,128256,True,88,8
